id,date,6h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,lounge,kitchen,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
f220c,2019-06-14,00-06,0,7,18,0,0,6,0,0,31,3,0.38,4.17,1.4,0.58,0,9
f220c,2019-06-14,06-12,0,4,11,0,2,3,0,0,20,4,0.5,5.0,1.68,0.55,0,9
f220c,2019-06-14,12-18,0,9,19,0,19,16,0,0,63,4,0.5,1.75,1.95,0.3,7,36
f220c,2019-06-14,18-24,0,5,16,0,2,10,0,0,33,4,0.5,2.1,1.69,0.48,4,18
f220c,2019-06-15,00-06,0,5,7,0,0,3,0,0,15,3,0.38,4.0,1.51,0.47,0,8
f220c,2019-06-15,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
f220c,2019-06-15,12-18,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
f220c,2019-06-15,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
f220c,2019-06-17,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
f220c,2019-06-17,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
f220c,2019-06-17,12-18,0,0,4,1,6,3,0,0,14,4,0.5,1.33,1.79,0.43,3,10
f220c,2019-06-17,18-24,0,5,1,0,0,6,0,0,12,3,0.38,1.0,1.33,0.5,1,6
f220c,2019-06-18,00-06,0,5,12,4,0,10,0,0,31,4,0.5,1.7,1.86,0.39,1,17
f220c,2019-06-18,06-12,0,4,12,0,5,4,0,0,25,4,0.5,4.0,1.82,0.48,4,11
f220c,2019-06-18,12-18,0,3,13,8,14,9,0,0,47,5,0.62,1.78,2.18,0.3,2,23
f220c,2019-06-18,18-24,0,4,2,4,2,11,0,0,23,5,0.62,0.55,2.0,0.48,1,13
f220c,2019-06-19,00-06,0,7,9,6,0,13,0,0,35,4,0.5,1.23,1.94,0.37,4,20
f220c,2019-06-19,06-12,0,1,6,0,0,2,0,0,9,3,0.38,3.5,1.22,0.67,1,5
f220c,2019-06-19,12-18,0,3,45,18,15,20,0,0,101,5,0.62,2.4,1.99,0.45,10,49
f220c,2019-06-19,18-24,0,5,3,0,0,6,0,0,14,3,0.38,1.33,1.53,0.43,3,10
f220c,2019-06-20,00-06,0,1,16,2,0,3,0,0,22,4,0.5,5.67,1.24,0.73,2,8
f220c,2019-06-20,06-12,0,5,14,0,0,3,0,0,22,3,0.38,6.33,1.29,0.64,0,8
f220c,2019-06-20,12-18,0,4,11,8,4,7,0,0,34,5,0.62,2.14,2.21,0.32,1,21
f220c,2019-06-20,18-24,0,3,1,2,0,4,0,0,10,4,0.5,1.0,1.85,0.4,0,6
f220c,2019-06-21,00-06,0,5,13,4,0,4,0,0,26,4,0.5,4.5,1.79,0.5,0,12
f220c,2019-06-21,06-12,0,5,6,2,0,1,0,0,14,4,0.5,11.0,1.73,0.43,0,5
f220c,2019-06-21,12-18,0,3,21,28,23,18,0,0,93,5,0.62,1.33,2.12,0.3,6,51
f220c,2019-06-21,18-24,0,3,2,0,0,7,0,0,12,3,0.38,0.71,1.38,0.58,1,6
f220c,2019-06-22,00-06,0,0,18,4,0,7,0,0,29,3,0.38,2.57,1.32,0.62,2,12
f220c,2019-06-22,06-12,0,0,22,6,2,7,0,0,37,4,0.5,3.14,1.55,0.59,2,16
f220c,2019-06-22,12-18,0,0,9,10,19,17,0,0,55,4,0.5,0.53,1.93,0.35,6,33
f220c,2019-06-22,18-24,0,0,3,2,0,2,0,0,7,3,0.38,1.5,1.56,0.43,0,4
f220c,2019-06-23,00-06,0,0,6,4,0,3,0,0,13,3,0.38,2.0,1.53,0.46,0,5
f220c,2019-06-23,06-12,0,0,16,2,2,4,0,0,24,4,0.5,4.0,1.42,0.67,1,9
f220c,2019-06-23,12-18,0,0,29,20,27,23,0,0,99,4,0.5,1.26,1.99,0.29,11,51
f220c,2019-06-23,18-24,0,0,4,4,0,5,0,0,13,3,0.38,0.8,1.58,0.38,1,6
f220c,2019-06-24,00-06,0,0,9,0,0,6,0,0,15,2,0.25,1.5,0.97,0.6,3,6
f220c,2019-06-24,06-12,0,2,21,0,0,2,0,0,25,3,0.38,11.5,0.79,0.84,0,5
f220c,2019-06-24,12-18,0,4,9,14,4,5,0,0,36,5,0.62,2.6,2.13,0.39,3,23
f220c,2019-06-24,18-24,0,3,7,0,0,2,0,0,12,3,0.38,5.0,1.38,0.58,0,5
f220c,2019-06-25,00-06,0,2,9,0,0,2,0,0,13,3,0.38,5.5,1.2,0.69,0,5
f220c,2019-06-25,06-12,0,4,19,0,6,6,0,0,35,4,0.5,3.83,1.71,0.54,2,15
f220c,2019-06-25,12-18,0,4,18,6,8,4,0,0,40,5,0.62,5.5,2.06,0.45,2,18
f220c,2019-06-25,18-24,0,2,5,0,0,4,0,0,11,3,0.38,1.75,1.49,0.45,3,8
f220c,2019-06-26,00-06,0,6,30,4,0,3,0,0,43,4,0.5,12.0,1.35,0.7,0,10
f220c,2019-06-26,06-12,0,7,26,0,0,0,0,0,33,2,0.25,1.0,0.75,0.79,0,7
f220c,2019-06-26,12-18,0,5,21,12,8,6,0,0,52,5,0.62,4.33,2.12,0.4,2,23
f220c,2019-06-26,18-24,0,0,7,2,0,0,0,0,9,2,0.25,1.0,0.76,0.78,0,3
f220c,2019-06-27,00-06,0,8,8,0,0,4,0,0,20,3,0.38,4.0,1.52,0.4,1,11
f220c,2019-06-27,06-12,0,2,14,2,2,0,0,0,20,4,0.5,1.0,1.36,0.7,0,6
f220c,2019-06-27,12-18,0,3,3,12,6,4,0,0,28,5,0.62,1.5,2.09,0.43,1,13
f220c,2019-06-27,18-24,0,0,3,0,0,1,0,0,4,2,0.25,3.0,0.81,0.75,0,2
