id,date,6h,back-door,bedroom,fridge-door,front-door,hallway,kitchen,lounge,bathroom,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
714d7,2019-05-27,00-06,0,5,4,0,2,3,0,0,14,4,0.5,1.0,1.92,0.36,1,8
714d7,2019-05-27,06-12,1,8,28,6,18,32,6,0,99,7,0.88,0.14,2.34,0.32,7,61
714d7,2019-05-27,12-18,0,12,22,6,23,29,20,0,112,6,0.75,0.17,2.45,0.26,8,78
714d7,2019-05-27,18-24,3,12,2,0,22,17,20,0,76,6,0.75,0.2,2.25,0.29,6,57
714d7,2019-05-28,00-06,0,13,0,0,1,4,0,0,18,3,0.38,2.6,1.05,0.72,4,10
714d7,2019-05-28,06-12,5,10,14,2,10,32,3,0,76,7,0.88,0.22,2.33,0.42,5,38
714d7,2019-05-28,12-18,7,7,10,12,32,35,24,0,127,7,0.88,0.08,2.54,0.28,15,101
714d7,2019-05-28,18-24,4,10,12,4,23,27,19,0,99,7,0.88,0.14,2.53,0.27,6,71
714d7,2019-05-29,00-06,0,4,0,0,0,0,0,0,4,1,0.12,1.0,-0.0,1.0,0,1
714d7,2019-05-29,06-12,5,33,26,12,30,44,7,0,157,7,0.88,0.41,2.52,0.28,17,103
714d7,2019-05-29,12-18,7,4,16,6,21,29,21,0,104,7,0.88,0.06,2.54,0.28,9,73
714d7,2019-05-29,18-24,8,9,4,4,11,16,7,0,59,7,0.88,0.26,2.66,0.27,0,37
714d7,2019-05-30,00-06,0,3,0,0,0,0,0,0,3,1,0.12,1.0,-0.0,1.0,0,1
714d7,2019-05-30,06-12,3,19,26,2,15,33,6,0,104,7,0.88,0.35,2.37,0.32,9,60
714d7,2019-05-30,12-18,0,4,14,2,26,29,24,0,99,6,0.75,0.05,2.22,0.29,6,75
714d7,2019-05-30,18-24,9,21,10,4,28,33,39,0,144,7,0.88,0.21,2.52,0.27,9,96
714d7,2019-05-31,00-06,0,3,0,0,0,0,0,0,3,1,0.12,1.0,-0.0,1.0,0,1
714d7,2019-05-31,06-12,5,22,16,14,38,43,17,0,155,7,0.88,0.22,2.57,0.28,14,110
714d7,2019-05-31,12-18,0,10,24,8,44,55,38,0,179,6,0.75,0.07,2.32,0.31,18,133
714d7,2019-05-31,18-24,7,22,4,4,35,35,19,0,126,7,0.88,0.25,2.43,0.28,16,95
714d7,2019-06-01,00-06,0,5,0,0,0,0,0,0,5,1,0.12,1.0,-0.0,1.0,0,1
714d7,2019-06-01,06-12,8,39,16,10,50,68,20,0,211,7,0.88,0.28,2.46,0.32,37,152
714d7,2019-06-01,12-18,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-06-01,18-24,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-06-02,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-06-02,06-12,0,0,0,4,2,3,0,0,9,3,0.38,0.0,1.53,0.44,0,5
714d7,2019-06-02,12-18,0,0,0,0,0,2,0,0,2,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-06-02,18-24,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-06-03,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-06-03,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-06-03,12-18,0,0,0,4,2,2,0,0,8,3,0.38,0.0,1.5,0.5,1,6
714d7,2019-06-03,18-24,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-06-04,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-06-04,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-06-04,12-18,0,0,0,4,2,5,0,0,11,3,0.38,0.0,1.49,0.45,1,7
714d7,2019-06-04,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-06-05,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-06-05,06-12,0,0,0,0,0,2,0,0,2,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-06-05,12-18,0,0,0,4,2,4,0,0,10,3,0.38,0.0,1.52,0.4,0,7
714d7,2019-06-05,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-06-06,00-06,0,0,0,0,0,2,0,0,2,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-06-06,06-12,0,0,0,0,0,2,0,0,2,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-06-06,12-18,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-06-06,18-24,0,0,0,4,3,4,1,0,12,4,0.5,0.0,1.86,0.33,2,10
714d7,2019-06-07,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-06-07,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-06-07,12-18,0,0,0,4,2,2,0,0,8,3,0.38,0.0,1.5,0.5,0,5
714d7,2019-06-07,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
