id,date,6h,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge,back-door,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
d93d8,2019-06-17,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
d93d8,2019-06-17,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
d93d8,2019-06-17,12-18,6,2,2,24,23,36,21,0,114,7,0.88,0.1,2.34,0.32,9,66
d93d8,2019-06-17,18-24,4,7,2,26,27,26,44,0,136,7,0.88,0.11,2.36,0.32,15,94
d93d8,2019-06-18,00-06,7,50,0,4,19,9,10,0,99,6,0.75,1.5,2.06,0.51,4,47
d93d8,2019-06-18,06-12,10,24,4,18,31,25,19,0,131,7,0.88,0.45,2.63,0.24,14,104
d93d8,2019-06-18,12-18,5,16,2,14,22,17,14,0,90,7,0.88,0.4,2.58,0.24,15,71
d93d8,2019-06-18,18-24,8,8,2,12,22,10,41,0,103,7,0.88,0.22,2.38,0.4,13,62
d93d8,2019-06-19,00-06,8,67,0,10,19,18,10,0,132,6,0.75,1.6,2.1,0.51,3,60
d93d8,2019-06-19,06-12,24,48,6,32,52,26,21,0,209,7,0.88,0.73,2.61,0.25,28,152
d93d8,2019-06-19,12-18,9,14,8,20,45,39,36,0,171,7,0.88,0.19,2.55,0.26,25,132
d93d8,2019-06-19,18-24,5,7,6,34,27,25,47,0,151,7,0.88,0.12,2.44,0.31,11,100
d93d8,2019-06-20,00-06,9,48,0,10,33,22,26,0,148,6,0.75,0.7,2.37,0.32,6,92
d93d8,2019-06-20,06-12,18,29,10,10,29,18,15,0,129,7,0.88,0.76,2.69,0.22,15,95
d93d8,2019-06-20,12-18,9,7,2,34,43,28,34,0,157,7,0.88,0.15,2.43,0.27,17,124
d93d8,2019-06-20,18-24,8,6,0,18,38,34,45,0,149,6,0.75,0.12,2.29,0.3,20,108
d93d8,2019-06-21,00-06,10,52,0,4,17,7,2,0,92,6,0.75,2.38,1.86,0.57,4,46
d93d8,2019-06-21,06-12,18,18,8,14,42,28,10,0,138,7,0.88,0.45,2.6,0.3,20,108
d93d8,2019-06-21,12-18,29,24,8,24,65,51,49,0,250,7,0.88,0.32,2.6,0.26,30,195
