id,date,12h,back-door,bathroom,bedroom,fridge-door,front-door,kitchen
c55f8,2019-05-22,12-24,89.0,7.0,9.0,50.0,83.0,89.0
c55f8,2019-05-23,00-12,49.0,5.0,31.0,18.0,56.0,45.0
c55f8,2019-05-23,12-24,87.0,2.0,5.0,42.0,42.0,102.0
c55f8,2019-05-24,00-12,38.0,10.0,35.0,28.0,48.0,69.0
c55f8,2019-05-24,12-24,78.0,3.0,21.0,52.0,37.0,85.0
c55f8,2019-05-25,00-12,27.0,1.0,20.0,24.0,21.0,39.0
c55f8,2019-05-25,12-24,64.0,5.0,13.0,30.0,41.0,65.0
c55f8,2019-05-26,00-12,42.0,5.0,27.0,20.0,28.0,41.0
c55f8,2019-05-26,12-24,121.0,2.0,10.0,54.0,47.0,160.0
c55f8,2019-05-27,00-12,69.0,4.0,15.0,22.0,54.0,91.0
c55f8,2019-05-27,12-24,86.0,12.0,9.0,84.0,52.0,101.0
c55f8,2019-05-28,00-12,55.0,0.0,47.0,28.0,67.0,56.0
c55f8,2019-05-28,12-24,0.0,0.0,0.0,0.0,0.0,0.0
c55f8,2019-06-01,00-12,0.0,0.0,0.0,0.0,0.0,0.0
c55f8,2019-06-01,12-24,55.0,4.0,20.0,68.0,46.0,120.0
c55f8,2019-06-02,00-12,37.0,3.0,31.0,22.0,26.0,56.0
c55f8,2019-06-02,12-24,94.0,10.0,10.0,48.0,79.0,130.0
c55f8,2019-06-03,00-12,39.0,13.0,34.0,30.0,46.0,77.0
c55f8,2019-06-03,12-24,37.0,6.0,15.0,16.0,23.0,55.0
c55f8,2019-06-04,00-12,15.0,4.0,23.0,18.0,23.0,43.0
c55f8,2019-06-04,12-24,79.0,3.0,21.0,42.0,62.0,140.0
c55f8,2019-06-05,00-12,34.0,11.0,30.0,28.0,62.0,81.0
c55f8,2019-06-05,12-24,65.0,1.0,12.0,94.0,21.0,95.0
c55f8,2019-06-06,00-12,35.0,8.0,30.0,22.0,60.0,44.0
