back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bathroom-count-max,bathroom-count-mean,bathroom-count-std,bathroom-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum,lounge-count-max,lounge-count-mean,lounge-count-std,lounge-count-sum
0.0,13.0,13.0,0.0,0.0,8.0,16.0,1.0,51.0,5.0,0.625,1.04,2.0604,0.3137,10.0,28.0,0.0,0.0,0.0,0.0,7.0,0.5417,1.5317,13.0,7.0,0.5417,1.5317,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3333,1.1672,8.0,14.0,0.6667,2.8691,16.0,1.0,0.0417,0.2041,1.0
0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.25,1.0,0.9887,0.5625,1.0,9.0,0.0,0.0,0.0,0.0,4.0,0.2917,0.9079,7.0,5.0,0.375,1.1349,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,29.0,39.0,8.0,0.0,19.0,27.0,3.0,127.0,7.0,0.875,1.3878,2.3677,0.3071,23.0,85.0,2.0,0.0833,0.4082,2.0,8.0,1.2083,2.3587,29.0,8.0,1.625,2.9754,39.0,6.0,0.3333,1.274,8.0,0.0,0.0,0.0,0.0,6.0,0.7917,1.6676,19.0,11.0,1.125,2.5076,27.0,1.0,0.125,0.3378,3.0
2.0,17.0,18.0,6.0,0.0,20.0,34.0,2.0,99.0,7.0,0.875,0.625,2.3519,0.3434,14.0,66.0,2.0,0.0833,0.4082,2.0,5.0,0.7083,1.4289,17.0,5.0,0.75,1.6219,18.0,6.0,0.25,1.2247,6.0,0.0,0.0,0.0,0.0,9.0,0.8333,2.1602,20.0,19.0,1.4167,4.1485,34.0,1.0,0.0833,0.2823,2.0
0.0,10.0,20.0,2.0,0.0,2.0,4.0,1.0,39.0,6.0,0.75,4.2857,1.9096,0.5128,7.0,21.0,0.0,0.0,0.0,0.0,5.0,0.4167,1.2129,10.0,9.0,0.8333,2.2778,20.0,2.0,0.0833,0.4082,2.0,0.0,0.0,0.0,0.0,2.0,0.0833,0.4082,2.0,4.0,0.1667,0.8165,4.0,1.0,0.0417,0.2041,1.0
0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.25,1.0,0.971,0.6,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.25,0.6757,6.0,3.0,0.375,0.9237,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,29.0,36.0,8.0,0.0,25.0,30.0,1.0,139.0,7.0,0.875,1.1607,2.4605,0.259,14.0,83.0,4.0,0.4167,1.0598,10.0,11.0,1.2083,2.7343,29.0,11.0,1.5,3.1347,36.0,2.0,0.3333,0.7614,8.0,0.0,0.0,0.0,0.0,7.0,1.0417,2.1362,25.0,10.0,1.25,2.6416,30.0,1.0,0.0417,0.2041,1.0
14.0,24.0,35.0,20.0,0.0,24.0,37.0,6.0,160.0,7.0,0.875,0.8806,2.6494,0.2312,20.0,102.0,6.0,0.5833,1.5012,14.0,7.0,1.0,2.0851,24.0,12.0,1.4583,3.5872,35.0,10.0,0.8333,2.4257,20.0,0.0,0.0,0.0,0.0,7.0,1.0,2.1468,24.0,18.0,1.5417,4.1387,37.0,3.0,0.25,0.7372,6.0
0.0,13.0,15.0,4.0,0.0,5.0,21.0,2.0,60.0,6.0,0.75,1.0,2.2309,0.35,2.0,27.0,0.0,0.0,0.0,0.0,7.0,0.5417,1.5317,13.0,7.0,0.625,1.6369,15.0,4.0,0.1667,0.8165,4.0,0.0,0.0,0.0,0.0,3.0,0.2083,0.7211,5.0,20.0,0.875,4.0787,21.0,1.0,0.0833,0.2823,2.0
0.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.25,1.0,0.9587,0.619,0.0,9.0,0.0,0.0,0.0,0.0,6.0,0.3333,1.274,8.0,6.0,0.5417,1.5598,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,32.0,41.0,4.0,0.0,16.0,25.0,1.0,127.0,7.0,0.875,1.7381,2.3292,0.3228,9.0,73.0,6.0,0.3333,1.274,8.0,10.0,1.3333,3.2123,32.0,14.0,1.7083,3.7704,41.0,4.0,0.1667,0.8165,4.0,0.0,0.0,0.0,0.0,8.0,0.6667,1.8098,16.0,12.0,1.0417,2.9114,25.0,1.0,0.0417,0.2041,1.0
10.0,22.0,28.0,8.0,0.0,33.0,54.0,4.0,159.0,7.0,0.875,0.5495,2.4377,0.3396,17.0,97.0,5.0,0.4167,1.1389,10.0,7.0,0.9167,1.9763,22.0,9.0,1.1667,2.6649,28.0,4.0,0.3333,0.9631,8.0,0.0,0.0,0.0,0.0,20.0,1.375,4.1995,33.0,21.0,2.25,5.6434,54.0,3.0,0.1667,0.637,4.0
2.0,8.0,14.0,6.0,0.0,7.0,15.0,1.0,53.0,7.0,0.875,0.9565,2.4625,0.283,9.0,32.0,2.0,0.0833,0.4082,2.0,4.0,0.3333,1.1293,8.0,6.0,0.5833,1.6396,14.0,6.0,0.25,1.2247,6.0,0.0,0.0,0.0,0.0,5.0,0.2917,1.0826,7.0,14.0,0.625,2.8562,15.0,1.0,0.0417,0.2041,1.0
0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.25,1.0,0.9911,0.5556,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.1667,0.5647,4.0,3.0,0.2083,0.7211,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,26.0,48.0,4.0,0.0,16.0,24.0,1.0,121.0,7.0,0.875,1.8049,2.1723,0.3967,25.0,80.0,2.0,0.0833,0.4082,2.0,9.0,1.0833,2.2247,26.0,16.0,2.0,4.2426,48.0,4.0,0.1667,0.8165,4.0,0.0,0.0,0.0,0.0,5.0,0.6667,1.3406,16.0,13.0,1.0,2.7975,24.0,1.0,0.0417,0.2041,1.0
2.0,3.0,6.0,4.0,0.0,6.0,4.0,0.0,25.0,6.0,0.75,0.9,2.4929,0.24,4.0,18.0,2.0,0.0833,0.4082,2.0,3.0,0.125,0.6124,3.0,6.0,0.25,1.2247,6.0,4.0,0.1667,0.8165,4.0,0.0,0.0,0.0,0.0,6.0,0.25,1.2247,6.0,4.0,0.1667,0.8165,4.0,0.0,0.0,0.0,0.0
5.0,6.0,12.0,0.0,0.0,10.0,10.0,1.0,44.0,6.0,0.75,0.8571,2.3554,0.2727,8.0,32.0,3.0,0.2083,0.7211,5.0,3.0,0.25,0.7372,6.0,4.0,0.5,1.1795,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.4167,1.4116,10.0,6.0,0.4167,1.4421,10.0,1.0,0.0417,0.2041,1.0
0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.25,1.0,0.9183,0.6667,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0.2083,0.5882,5.0,3.0,0.4167,0.9743,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,27.0,30.0,6.0,0.0,6.0,18.0,0.0,91.0,6.0,0.75,2.375,2.2257,0.3297,15.0,41.0,4.0,0.1667,0.8165,4.0,10.0,1.125,2.8178,27.0,11.0,1.25,3.2202,30.0,6.0,0.25,1.2247,6.0,0.0,0.0,0.0,0.0,2.0,0.25,0.6079,6.0,15.0,0.75,3.0681,18.0,0.0,0.0,0.0,0.0
20.0,7.0,23.0,16.0,0.0,14.0,21.0,0.0,101.0,6.0,0.75,0.8571,2.503,0.2277,7.0,56.0,8.0,0.8333,2.1196,20.0,2.0,0.2917,0.6903,7.0,7.0,0.9583,2.0319,23.0,8.0,0.6667,2.0144,16.0,0.0,0.0,0.0,0.0,5.0,0.5833,1.316,14.0,8.0,0.875,1.963,21.0,0.0,0.0,0.0,0.0
10.0,14.0,16.0,6.0,0.0,12.0,21.0,0.0,79.0,6.0,0.75,0.9091,2.49,0.2658,8.0,40.0,6.0,0.4167,1.4421,10.0,4.0,0.5833,1.2482,14.0,9.0,0.6667,1.9262,16.0,4.0,0.25,0.8969,6.0,0.0,0.0,0.0,0.0,6.0,0.5,1.4744,12.0,14.0,0.875,2.9973,21.0,0.0,0.0,0.0,0.0
0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.25,1.0,0.8813,0.7,1.0,5.0,0.0,0.0,0.0,0.0,3.0,0.125,0.6124,3.0,4.0,0.2917,0.9079,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,12.0,37.0,14.0,0.0,17.0,27.0,0.0,117.0,6.0,0.75,1.1136,2.4245,0.3162,14.0,67.0,4.0,0.4167,0.9743,10.0,5.0,0.5,1.2854,12.0,13.0,1.5417,3.6473,37.0,6.0,0.5833,1.5012,14.0,0.0,0.0,0.0,0.0,7.0,0.7083,1.781,17.0,9.0,1.125,2.8332,27.0,0.0,0.0,0.0,0.0
14.0,13.0,33.0,16.0,0.0,36.0,65.0,2.0,179.0,7.0,0.875,0.4466,2.3919,0.3631,19.0,110.0,4.0,0.5833,1.1389,14.0,5.0,0.5417,1.2504,13.0,14.0,1.375,3.5851,33.0,12.0,0.6667,2.4789,16.0,0.0,0.0,0.0,0.0,10.0,1.5,3.0217,36.0,22.0,2.7083,6.1395,65.0,2.0,0.0833,0.4082,2.0
4.0,20.0,35.0,2.0,0.0,7.0,10.0,2.0,80.0,7.0,0.875,2.8947,2.1865,0.4375,16.0,50.0,4.0,0.1667,0.8165,4.0,14.0,0.8333,2.9439,20.0,13.0,1.4583,3.4764,35.0,2.0,0.0833,0.4082,2.0,0.0,0.0,0.0,0.0,7.0,0.2917,1.4289,7.0,10.0,0.4167,2.0412,10.0,2.0,0.0833,0.4082,2.0
0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.25,1.0,0.9183,0.6667,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.1667,0.5647,4.0,3.0,0.3333,0.8681,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,7.0,35.0,6.0,1.0,16.0,16.0,0.0,83.0,7.0,0.875,1.3125,2.2222,0.4217,12.0,54.0,1.0,0.0833,0.2823,2.0,4.0,0.2917,0.9991,7.0,19.0,1.4583,4.8273,35.0,4.0,0.25,0.8969,6.0,1.0,0.0417,0.2041,1.0,12.0,0.6667,2.4789,16.0,12.0,0.6667,2.4964,16.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
