back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
0.0,65.0,34.0,0.0,15.0,102.0,75.0,0.0
0.0,98.0,93.0,0.0,26.0,193.0,158.0,0.0
0.0,102.0,67.0,0.0,30.0,150.0,105.0,0.0
0.0,77.0,59.0,0.0,28.0,102.0,96.0,0.0
0.0,41.0,35.0,0.0,28.0,94.0,81.0,0.0
0.0,78.0,102.0,0.0,34.0,164.0,141.0,0.0
0.0,108.0,95.0,0.0,50.0,152.0,133.0,0.0
0.0,79.0,73.0,0.0,29.0,112.0,98.0,0.0
0.0,73.0,42.0,0.0,22.0,107.0,86.0,0.0
0.0,103.0,0.0,0.0,102.0,206.0,196.0,0.0
0.0,47.0,0.0,0.0,24.0,93.0,91.0,0.0
0.0,95.0,0.0,0.0,58.0,158.0,122.0,0.0
0.0,68.0,0.0,0.0,52.0,138.0,109.0,0.0
0.0,63.0,0.0,0.0,34.0,94.0,96.0,0.0
0.0,48.0,0.0,0.0,18.0,82.0,77.0,0.0
0.0,47.0,0.0,0.0,30.0,91.0,113.0,0.0
0.0,74.0,0.0,0.0,38.0,108.0,106.0,0.0
0.0,78.0,0.0,0.0,46.0,137.0,110.0,0.0
0.0,66.0,0.0,0.0,34.0,90.0,84.0,0.0
0.0,74.0,0.0,0.0,42.0,89.0,84.0,0.0
0.0,148.0,0.0,0.0,66.0,203.0,197.0,0.0
0.0,137.0,0.0,0.0,84.0,254.0,192.0,0.0
0.0,56.0,0.0,0.0,24.0,128.0,124.0,0.0
0.0,100.0,0.0,0.0,38.0,135.0,116.0,0.0
0.0,111.0,0.0,0.0,76.0,154.0,128.0,0.0
0.0,105.0,0.0,0.0,66.0,146.0,130.0,0.0
0.0,117.0,0.0,0.0,20.0,131.0,109.0,0.0
0.0,97.0,0.0,0.0,40.0,169.0,130.0,0.0
0.0,144.0,0.0,0.0,62.0,231.0,185.0,0.0
0.0,77.0,0.0,0.0,57.0,121.0,88.0,0.0
0.0,38.0,0.0,0.0,87.0,129.0,112.0,0.0
0.0,74.0,0.0,0.0,68.0,141.0,109.0,0.0
0.0,107.0,0.0,0.0,36.0,142.0,139.0,0.0
0.0,47.0,0.0,0.0,36.0,145.0,116.0,0.0
0.0,125.0,0.0,0.0,40.0,170.0,135.0,0.0
0.0,62.0,0.0,0.0,99.0,148.0,128.0,0.0
0.0,111.0,0.0,0.0,58.0,190.0,132.0,0.0
0.0,74.0,0.0,0.0,62.0,127.0,110.0,0.0
0.0,71.0,0.0,0.0,54.0,157.0,146.0,0.0
0.0,53.0,0.0,0.0,26.0,111.0,112.0,0.0
0.0,84.0,0.0,0.0,66.0,152.0,124.0,0.0
0.0,73.0,0.0,0.0,42.0,133.0,111.0,0.0
0.0,64.0,0.0,0.0,38.0,131.0,115.0,0.0
0.0,80.0,0.0,0.0,24.0,123.0,130.0,0.0
0.0,50.0,0.0,0.0,36.0,132.0,100.0,0.0
0.0,131.0,0.0,0.0,91.0,264.0,201.0,0.0
0.0,66.0,0.0,0.0,50.0,175.0,145.0,0.0
0.0,60.0,0.0,0.0,28.0,129.0,90.0,0.0
0.0,87.0,0.0,0.0,36.0,94.0,151.0,0.0
0.0,64.0,0.0,0.0,32.0,62.0,159.0,0.0
0.0,49.0,0.0,0.0,44.0,75.0,127.0,0.0
0.0,64.0,0.0,0.0,34.0,63.0,113.0,0.0
0.0,98.0,0.0,0.0,43.0,59.0,123.0,0.0
0.0,75.0,0.0,0.0,57.0,76.0,143.0,0.0
0.0,108.0,0.0,0.0,48.0,83.0,160.0,0.0
0.0,81.0,0.0,0.0,41.0,60.0,122.0,0.0
0.0,16.0,0.0,0.0,12.0,18.0,47.0,0.0
0.0,59.0,0.0,0.0,36.0,54.0,154.0,0.0
0.0,102.0,0.0,0.0,163.0,67.0,177.0,0.0
0.0,65.0,0.0,0.0,48.0,44.0,112.0,0.0
0.0,105.0,0.0,0.0,57.0,36.0,212.0,0.0
0.0,57.0,0.0,0.0,26.0,29.0,82.0,0.0
0.0,88.0,0.0,0.0,24.0,35.0,128.0,0.0
0.0,102.0,0.0,0.0,59.0,58.0,183.0,0.0
