id,date,6h,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum,lounge-count-max,lounge-count-mean,lounge-count-std,lounge-count-sum
714d7,2019-05-19,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
714d7,2019-05-19,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,2,0.08,0.41,2,3,0.21,0.72,5,0,0.0,0.0,0
714d7,2019-05-19,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.08,0.28,2,0,0.0,0.0,0
714d7,2019-05-19,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
714d7,2019-05-20,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0
714d7,2019-05-20,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,2,0.08,0.41,2,2,0.12,0.45,3,0,0.0,0.0,0
714d7,2019-05-20,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0
714d7,2019-05-20,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,0,0.0,0.0,0
714d7,2019-05-21,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0
714d7,2019-05-21,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,2,0.08,0.41,2,3,0.17,0.64,4,0,0.0,0.0,0
714d7,2019-05-21,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0
714d7,2019-05-21,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
714d7,2019-05-22,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0
714d7,2019-05-22,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,2,0.08,0.41,2,3,0.12,0.61,3,0,0.0,0.0,0
714d7,2019-05-22,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0
714d7,2019-05-22,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
714d7,2019-05-23,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
714d7,2019-05-23,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0
714d7,2019-05-23,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,2,0.08,0.41,2,4,0.21,0.83,5,0,0.0,0.0,0
