id,date,6h,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bathroom-count-max,bathroom-count-mean,bathroom-count-std,bathroom-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum
a539e,2019-05-26,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1
a539e,2019-05-26,18-24,3,0.25,0.74,6,1,0.04,0.2,1,1,0.04,0.2,1,12,0.58,2.47,14,12,1.08,2.95,26
a539e,2019-05-27,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-05-27,06-12,1,0.04,0.2,1,2,0.08,0.41,2,1,0.04,0.2,1,12,0.5,2.45,12,12,0.75,2.61,18
a539e,2019-05-27,12-18,2,0.12,0.45,3,3,0.12,0.61,3,0,0.0,0.0,0,2,0.08,0.41,2,6,0.38,1.28,9
a539e,2019-05-27,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1
a539e,2019-05-28,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-05-28,06-12,0,0.0,0.0,0,5,0.21,1.02,5,0,0.0,0.0,0,16,0.67,3.27,16,10,0.79,2.55,19
a539e,2019-05-28,12-18,0,0.0,0.0,0,2,0.12,0.45,3,1,0.04,0.2,1,0,0.0,0.0,0,3,0.17,0.64,4
a539e,2019-05-28,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-05-29,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-05-29,06-12,2,0.08,0.41,2,2,0.08,0.41,2,0,0.0,0.0,0,2,0.08,0.41,2,5,0.25,1.03,6
a539e,2019-05-29,12-18,0,0.0,0.0,0,3,0.17,0.64,4,0,0.0,0.0,0,0,0.0,0.0,0,2,0.25,0.68,6
a539e,2019-05-29,18-24,2,0.08,0.41,2,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,6,0.38,1.35,9
a539e,2019-05-30,00-06,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4
a539e,2019-05-30,06-12,0,0.0,0.0,0,3,0.25,0.74,6,0,0.0,0.0,0,2,0.08,0.41,2,2,0.25,0.61,6
a539e,2019-05-30,12-18,0,0.0,0.0,0,2,0.17,0.56,4,0,0.0,0.0,0,0,0.0,0.0,0,8,0.71,1.92,17
a539e,2019-05-30,18-24,2,0.25,0.61,6,3,0.17,0.64,4,0,0.0,0.0,0,10,0.75,2.56,18,11,1.12,2.83,27
a539e,2019-05-31,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-05-31,06-12,2,0.08,0.41,2,2,0.12,0.45,3,1,0.04,0.2,1,10,0.42,2.04,10,12,0.83,2.7,20
a539e,2019-05-31,12-18,2,0.08,0.41,2,2,0.12,0.45,3,0,0.0,0.0,0,6,0.42,1.32,10,4,0.46,1.14,11
a539e,2019-05-31,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-01,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-01,06-12,2,0.08,0.41,2,0,0.0,0.0,0,2,0.08,0.41,2,2,0.08,0.41,2,7,0.38,1.44,9
a539e,2019-06-01,12-18,0,0.0,0.0,0,3,0.21,0.72,5,1,0.08,0.28,2,2,0.08,0.41,2,8,0.54,1.72,13
a539e,2019-06-01,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.12,0.34,3
a539e,2019-06-02,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-02,06-12,0,0.0,0.0,0,3,0.12,0.61,3,1,0.04,0.2,1,0,0.0,0.0,0,4,0.17,0.82,4
a539e,2019-06-02,12-18,5,0.21,1.02,5,6,0.38,1.28,9,0,0.0,0.0,0,8,0.42,1.67,10,11,0.83,2.6,20
a539e,2019-06-02,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-03,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-03,06-12,0,0.0,0.0,0,0,0.0,0.0,0,1,0.08,0.28,2,0,0.0,0.0,0,1,0.04,0.2,1
a539e,2019-06-03,12-18,0,0.0,0.0,0,3,0.25,0.74,6,1,0.04,0.2,1,2,0.08,0.41,2,5,0.42,1.41,10
a539e,2019-06-03,18-24,0,0.0,0.0,0,2,0.12,0.45,3,1,0.04,0.2,1,2,0.08,0.41,2,6,0.58,1.47,14
a539e,2019-06-04,00-06,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-04,06-12,2,0.08,0.41,2,1,0.08,0.28,2,1,0.04,0.2,1,0,0.0,0.0,0,3,0.21,0.72,5
a539e,2019-06-04,12-18,0,0.0,0.0,0,2,0.12,0.45,3,1,0.04,0.2,1,0,0.0,0.0,0,4,0.29,0.91,7
a539e,2019-06-04,18-24,3,0.25,0.74,6,2,0.08,0.41,2,1,0.04,0.2,1,10,0.42,2.04,10,13,0.79,2.8,19
a539e,2019-06-05,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0.17,0.64,4
a539e,2019-06-05,06-12,0,0.0,0.0,0,2,0.08,0.41,2,1,0.04,0.2,1,2,0.08,0.41,2,4,0.25,0.9,6
a539e,2019-06-05,12-18,8,0.83,2.28,20,4,0.33,1.01,8,5,0.38,1.1,9,6,0.58,1.38,14,16,2.58,4.81,62
a539e,2019-06-05,18-24,6,0.83,1.63,20,5,0.67,1.43,16,4,0.42,0.97,10,7,0.33,1.43,8,22,2.58,5.59,62
a539e,2019-06-06,00-06,0,0.0,0.0,0,2,0.29,0.69,7,3,0.46,0.98,11,0,0.0,0.0,0,2,0.17,0.56,4
a539e,2019-06-06,06-12,37,2.21,7.65,53,19,1.83,4.58,44,12,1.08,2.81,26,12,0.58,2.47,14,13,1.83,3.89,44
a539e,2019-06-06,12-18,16,1.79,4.25,43,5,0.62,1.47,15,1,0.12,0.34,3,8,0.83,2.28,20,14,2.08,4.32,50
a539e,2019-06-06,18-24,4,0.75,1.54,18,7,0.42,1.47,10,5,0.5,1.29,12,24,2.92,6.38,70,14,2.79,5.08,67
a539e,2019-06-07,00-06,4,0.17,0.82,4,2,0.17,0.56,4,5,0.54,1.22,13,2,0.08,0.41,2,4,0.33,1.13,8
a539e,2019-06-07,06-12,6,0.25,1.22,6,13,1.5,3.64,36,9,0.92,2.08,22,6,0.75,1.65,18,12,2.08,4.07,50
a539e,2019-06-07,12-18,8,0.67,2.26,16,8,0.75,2.05,18,5,0.29,1.04,7,16,1.25,3.81,30,15,1.83,4.17,44
a539e,2019-06-07,18-24,10,0.83,2.2,20,5,0.67,1.52,16,6,0.88,1.73,21,8,0.71,2.14,17,12,1.88,3.58,45
a539e,2019-06-08,00-06,0,0.0,0.0,0,5,0.42,1.28,10,4,0.42,0.97,10,2,0.08,0.41,2,4,0.17,0.82,4
a539e,2019-06-08,06-12,2,0.08,0.41,2,16,1.21,3.54,29,9,0.92,2.36,22,16,1.25,3.58,30,16,1.5,3.89,36
a539e,2019-06-08,12-18,6,0.5,1.47,12,3,0.33,0.87,8,7,0.62,1.61,15,16,1.25,3.53,30,15,1.62,3.9,39
a539e,2019-06-08,18-24,6,0.5,1.47,12,5,0.42,1.28,10,4,0.38,0.97,9,10,1.17,2.76,28,17,2.46,4.86,59
a539e,2019-06-09,00-06,0,0.0,0.0,0,5,0.38,1.17,9,4,0.46,1.06,11,2,0.08,0.41,2,2,0.08,0.41,2
a539e,2019-06-09,06-12,9,0.79,2.02,19,21,1.83,4.62,44,9,1.08,2.36,26,8,0.67,2.26,16,20,2.42,5.06,58
a539e,2019-06-09,12-18,4,0.25,0.85,6,6,0.62,1.44,15,2,0.42,0.83,10,8,0.67,1.83,16,18,1.96,4.44,47
a539e,2019-06-09,18-24,8,0.92,2.34,22,5,0.5,1.14,12,3,0.42,0.88,10,18,1.08,3.82,26,21,2.08,5.02,50
a539e,2019-06-10,00-06,0,0.0,0.0,0,2,0.25,0.68,6,3,0.38,0.92,9,0,0.0,0.0,0,1,0.08,0.28,2
a539e,2019-06-10,06-12,6,0.5,1.47,12,12,1.96,3.97,47,6,0.75,1.73,18,10,0.75,2.19,18,15,2.12,4.33,51
a539e,2019-06-10,12-18,2,0.08,0.41,2,5,0.54,1.32,13,5,0.46,1.22,11,18,1.08,3.82,26,20,2.71,5.61,65
a539e,2019-06-10,18-24,4,0.33,1.13,8,3,0.42,0.93,10,5,0.62,1.35,15,18,1.25,3.86,30,17,2.17,5.14,52
a539e,2019-06-11,00-06,0,0.0,0.0,0,2,0.25,0.68,6,3,0.38,0.82,9,2,0.08,0.41,2,2,0.08,0.41,2
a539e,2019-06-11,06-12,10,0.5,2.06,12,14,1.46,3.4,35,10,1.04,2.42,25,14,2.08,4.43,50,16,3.12,5.84,75
a539e,2019-06-11,12-18,9,0.75,2.4,18,6,0.79,1.72,19,4,0.42,1.06,10,12,0.5,2.45,12,12,1.67,3.82,40
a539e,2019-06-11,18-24,8,0.42,1.67,10,4,0.58,1.28,14,6,0.46,1.32,11,16,0.92,3.44,22,15,1.92,4.27,46
a539e,2019-06-12,00-06,0,0.0,0.0,0,3,0.42,0.97,10,3,0.42,0.88,10,2,0.08,0.41,2,2,0.21,0.59,5
a539e,2019-06-12,06-12,2,0.12,0.45,3,17,1.21,3.64,29,6,0.58,1.53,14,8,0.5,1.79,12,15,1.79,4.23,43
a539e,2019-06-12,12-18,6,0.67,1.63,16,5,0.67,1.55,16,4,0.42,0.97,10,14,1.08,3.12,26,14,2.12,4.0,51
a539e,2019-06-12,18-24,8,0.75,2.03,18,7,0.62,1.74,15,7,0.46,1.44,11,14,1.08,3.12,26,16,2.0,4.52,48
a539e,2019-06-13,00-06,0,0.0,0.0,0,3,0.33,0.92,8,2,0.29,0.69,7,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-13,06-12,8,1.12,2.59,27,17,1.83,4.14,44,10,1.12,2.72,27,10,1.08,2.64,26,17,2.54,5.07,61
a539e,2019-06-13,12-18,6,0.33,1.27,8,3,0.33,0.92,8,2,0.17,0.56,4,6,0.54,1.53,13,10,0.83,2.57,20
a539e,2019-06-13,18-24,8,0.5,1.79,12,5,0.62,1.41,15,5,0.42,1.18,10,19,1.21,3.97,29,17,1.96,4.26,47
a539e,2019-06-14,00-06,0,0.0,0.0,0,3,0.25,0.85,6,2,0.25,0.61,6,2,0.08,0.41,2,1,0.04,0.2,1
a539e,2019-06-14,06-12,4,0.17,0.82,4,17,1.58,3.89,38,8,0.75,1.94,18,12,1.25,2.88,30,19,3.25,6.0,78
a539e,2019-06-14,12-18,4,0.54,1.28,13,6,0.83,1.79,20,6,0.42,1.32,10,28,1.5,5.79,36,19,2.17,4.92,52
a539e,2019-06-14,18-24,6,0.25,1.22,6,3,0.46,0.98,11,7,0.67,1.74,16,12,1.42,3.41,34,19,2.33,5.18,56
a539e,2019-06-15,00-06,0,0.0,0.0,0,5,0.46,1.22,11,6,0.62,1.58,15,2,0.08,0.41,2,1,0.08,0.28,2
a539e,2019-06-15,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-15,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-15,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
