id,date,6h,bathroom-count-max,bathroom-count-mean,bathroom-count-std,bathroom-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum
16f4b,2019-04-26,06-12,20,2.08,5.22,50,12,1.71,3.78,41,8,0.83,2.12,20,23,2.71,6.27,65,16,2.25,4.94,54
16f4b,2019-04-26,12-18,14,1.46,3.41,35,5,0.75,1.59,18,10,0.67,2.33,16,17,1.88,4.14,45,18,1.79,4.2,43
16f4b,2019-04-26,18-24,7,0.92,2.08,22,16,1.25,3.44,30,4,0.58,1.38,14,13,1.54,3.46,37,15,1.33,3.8,32
16f4b,2019-04-27,00-06,1,0.12,0.34,3,3,0.33,0.87,8,0,0.0,0.0,0,2,0.21,0.59,5,2,0.08,0.41,2
16f4b,2019-04-27,06-12,14,1.58,4.05,38,15,1.62,3.89,39,5,0.46,1.18,11,16,1.83,4.65,44,16,1.33,3.62,32
16f4b,2019-04-27,12-18,8,1.12,2.25,27,7,0.54,1.56,13,8,0.42,1.67,10,7,1.17,2.26,28,6,0.83,1.76,20
16f4b,2019-04-27,18-24,5,0.46,1.22,11,7,0.54,1.53,13,4,0.33,0.96,8,15,1.46,3.51,35,19,1.83,4.63,44
16f4b,2019-04-28,00-06,2,0.08,0.41,2,10,0.62,2.1,15,0,0.0,0.0,0,8,0.33,1.63,8,6,0.25,1.22,6
16f4b,2019-04-28,06-12,8,0.67,1.9,16,13,1.12,3.39,27,6,0.42,1.32,10,16,1.62,4.26,39,12,1.29,3.52,31
16f4b,2019-04-28,12-18,10,0.96,2.27,23,0,0.0,0.0,0,2,0.17,0.56,4,10,1.12,2.4,27,8,0.83,2.01,20
16f4b,2019-04-28,18-24,10,1.33,3.17,32,0,0.0,0.0,0,6,0.33,1.27,8,12,1.38,3.08,33,8,1.21,2.54,29
16f4b,2019-04-29,00-06,3,0.12,0.61,3,0,0.0,0.0,0,0,0.0,0.0,0,9,0.46,1.84,11,4,0.29,0.91,7
16f4b,2019-04-29,06-12,14,1.25,3.8,30,0,0.0,0.0,0,8,0.83,2.35,20,20,2.67,6.13,64,18,2.38,5.53,57
16f4b,2019-04-29,12-18,9,1.29,2.82,31,0,0.0,0.0,0,16,1.83,4.45,44,17,2.58,5.27,62,24,2.67,5.95,64
16f4b,2019-04-29,18-24,16,1.62,4.16,39,0,0.0,0.0,0,17,1.58,4.05,38,20,2.88,6.56,69,19,2.83,6.29,68
16f4b,2019-04-30,00-06,4,0.21,0.83,5,0,0.0,0.0,0,0,0.0,0.0,0,11,0.54,2.26,13,9,0.46,1.86,11
16f4b,2019-04-30,06-12,7,0.58,1.74,14,0,0.0,0.0,0,2,0.33,0.76,8,8,1.08,2.62,26,9,1.0,2.52,24
16f4b,2019-04-30,12-18,5,0.62,1.35,15,0,0.0,0.0,0,6,0.42,1.44,10,10,1.17,2.62,28,11,0.88,2.46,21
16f4b,2019-04-30,18-24,5,0.54,1.35,13,0,0.0,0.0,0,4,0.25,0.9,6,12,1.08,2.72,26,13,1.46,3.15,35
16f4b,2019-05-01,00-06,2,0.12,0.45,3,0,0.0,0.0,0,0,0.0,0.0,0,4,0.29,0.91,7,3,0.21,0.72,5
16f4b,2019-05-01,06-12,18,1.62,4.33,39,0,0.0,0.0,0,8,0.75,2.03,18,20,1.92,4.94,46,14,1.75,4.26,42
16f4b,2019-05-01,12-18,7,0.38,1.44,9,0,0.0,0.0,0,6,0.83,1.76,20,14,1.92,4.3,46,8,1.08,2.41,26
16f4b,2019-05-01,18-24,15,1.83,4.29,44,0,0.0,0.0,0,12,0.83,2.63,20,20,2.46,5.27,59,18,2.04,4.96,49
16f4b,2019-05-02,00-06,6,0.29,1.23,7,0,0.0,0.0,0,0,0.0,0.0,0,6,0.29,1.23,7,4,0.17,0.82,4
16f4b,2019-05-02,06-12,11,1.21,3.2,29,0,0.0,0.0,0,4,0.5,1.22,12,16,1.75,4.69,42,8,0.92,2.3,22
16f4b,2019-05-02,12-18,5,0.54,1.22,13,0,0.0,0.0,0,8,1.0,2.36,24,18,2.29,4.75,55,10,1.58,3.28,38
16f4b,2019-05-02,18-24,6,0.79,1.74,19,0,0.0,0.0,0,6,0.67,1.63,16,9,1.42,2.89,34,18,1.88,4.48,45
16f4b,2019-05-03,00-06,2,0.08,0.41,2,0,0.0,0.0,0,0,0.0,0.0,0,2,0.12,0.45,3,1,0.12,0.34,3
16f4b,2019-05-03,06-12,12,1.21,3.23,29,0,0.0,0.0,0,6,0.42,1.32,10,18,1.58,4.25,38,26,1.62,5.49,39
16f4b,2019-05-03,12-18,13,1.0,2.8,24,0,0.0,0.0,0,8,0.58,1.82,14,10,1.17,2.82,28,13,1.08,2.93,26
16f4b,2019-05-03,18-24,3,0.33,0.92,8,0,0.0,0.0,0,6,0.42,1.32,10,11,1.04,2.77,25,16,1.17,3.5,28
16f4b,2019-05-04,00-06,1,0.08,0.28,2,0,0.0,0.0,0,0,0.0,0.0,0,3,0.25,0.74,6,3,0.21,0.66,5
16f4b,2019-05-04,06-12,14,0.88,2.97,21,0,0.0,0.0,0,6,0.5,1.35,12,14,1.17,3.27,28,16,1.12,3.46,27
16f4b,2019-05-04,12-18,7,0.62,1.56,15,0,0.0,0.0,0,0,0.0,0.0,0,9,0.75,2.03,18,13,0.88,2.69,21
16f4b,2019-05-04,18-24,4,0.42,1.06,10,0,0.0,0.0,0,2,0.25,0.68,6,11,1.25,2.91,30,12,1.0,2.75,24
16f4b,2019-05-05,00-06,1,0.08,0.28,2,0,0.0,0.0,0,0,0.0,0.0,0,2,0.17,0.56,4,2,0.12,0.45,3
16f4b,2019-05-05,06-12,13,0.58,2.65,14,0,0.0,0.0,0,2,0.33,0.76,8,12,0.92,2.69,22,12,1.17,3.28,28
16f4b,2019-05-05,12-18,10,0.88,2.82,21,0,0.0,0.0,0,8,0.75,1.94,18,14,2.04,4.15,49,14,2.33,4.47,56
16f4b,2019-05-05,18-24,3,0.42,1.02,10,0,0.0,0.0,0,4,0.17,0.82,4,8,0.67,1.95,16,10,1.08,2.84,26
16f4b,2019-05-06,00-06,2,0.12,0.45,3,0,0.0,0.0,0,0,0.0,0.0,0,3,0.29,0.86,7,5,0.25,1.03,6
16f4b,2019-05-06,06-12,12,1.17,3.16,28,0,0.0,0.0,0,6,0.58,1.5,14,13,1.54,3.74,37,16,1.75,4.55,42
16f4b,2019-05-06,12-18,4,0.5,1.14,12,0,0.0,0.0,0,6,0.33,1.27,8,6,0.75,1.73,18,6,0.83,1.71,20
16f4b,2019-05-06,18-24,10,1.29,2.84,31,0,0.0,0.0,0,8,0.67,1.83,16,15,1.92,4.43,46,12,1.58,3.57,38
16f4b,2019-05-07,00-06,1,0.04,0.2,1,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,2,0.08,0.41,2
16f4b,2019-05-07,06-12,8,0.96,2.22,23,0,0.0,0.0,0,4,0.5,1.22,12,14,1.54,3.59,37,11,1.04,2.66,25
16f4b,2019-05-07,12-18,14,1.79,3.72,43,0,0.0,0.0,0,10,1.0,2.36,24,17,2.79,5.27,67,19,2.42,5.15,58
16f4b,2019-05-07,18-24,6,0.46,1.38,11,0,0.0,0.0,0,6,0.42,1.32,10,11,1.33,3.05,32,9,1.04,2.4,25
16f4b,2019-05-08,00-06,1,0.08,0.28,2,0,0.0,0.0,0,0,0.0,0.0,0,5,0.38,1.1,9,4,0.29,0.91,7
16f4b,2019-05-08,06-12,12,0.62,2.46,15,0,0.0,0.0,0,10,0.58,2.08,14,16,1.21,3.55,29,12,1.08,3.13,26
16f4b,2019-05-08,12-18,8,0.83,2.12,20,0,0.0,0.0,0,4,0.42,1.18,10,7,1.0,2.0,24,5,0.83,1.63,20
16f4b,2019-05-08,18-24,10,1.21,2.89,29,0,0.0,0.0,0,6,0.42,1.32,10,10,1.17,2.87,28,14,1.29,3.47,31
16f4b,2019-05-09,00-06,1,0.04,0.2,1,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,1,0.04,0.2,1
16f4b,2019-05-09,06-12,14,1.92,4.52,46,0,0.0,0.0,0,14,1.0,3.06,24,16,1.83,4.48,44,11,1.33,3.19,32
16f4b,2019-05-09,12-18,5,0.29,1.08,7,0,0.0,0.0,0,4,0.33,1.13,8,11,1.0,2.52,24,14,1.08,3.06,26
16f4b,2019-05-09,18-24,9,0.83,2.12,20,0,0.0,0.0,0,10,0.42,2.04,10,9,0.79,2.17,19,10,1.04,2.51,25
16f4b,2019-05-10,00-06,3,0.29,0.86,7,0,0.0,0.0,0,0,0.0,0.0,0,3,0.29,0.81,7,2,0.12,0.45,3
16f4b,2019-05-10,06-12,19,2.12,5.74,51,0,0.0,0.0,0,6,0.62,1.61,15,27,2.75,6.82,66,20,3.29,6.78,79
16f4b,2019-05-10,12-18,13,1.75,3.81,42,0,0.0,0.0,0,12,0.75,2.56,18,14,2.42,4.55,58,14,2.46,4.66,59
16f4b,2019-05-10,18-24,18,2.0,4.63,48,0,0.0,0.0,0,16,1.38,3.77,33,20,3.0,5.81,72,14,2.33,4.39,56
16f4b,2019-05-11,00-06,10,0.67,2.08,16,0,0.0,0.0,0,2,0.08,0.41,2,16,1.29,3.57,31,10,0.79,2.34,19
16f4b,2019-05-11,06-12,9,1.21,2.64,29,0,0.0,0.0,0,8,0.5,1.69,12,18,2.67,5.83,64,19,2.33,5.48,56
16f4b,2019-05-11,12-18,20,3.08,6.05,74,0,0.0,0.0,0,30,2.17,6.29,52,24,4.62,8.56,111,22,3.58,6.81,86
16f4b,2019-05-11,18-24,6,0.75,1.7,18,0,0.0,0.0,0,14,0.75,2.94,18,15,2.0,4.26,48,9,1.29,2.87,31
16f4b,2019-05-12,00-06,2,0.12,0.45,3,0,0.0,0.0,0,0,0.0,0.0,0,8,0.54,1.67,13,4,0.29,0.86,7
16f4b,2019-05-12,06-12,9,0.58,1.98,14,0,0.0,0.0,0,2,0.33,0.76,8,10,0.88,2.31,21,5,0.67,1.55,16
16f4b,2019-05-12,12-18,11,1.17,3.2,28,0,0.0,0.0,0,4,0.5,1.22,12,18,2.5,5.32,60,19,2.54,5.31,61
16f4b,2019-05-12,18-24,6,0.46,1.44,11,0,0.0,0.0,0,2,0.17,0.56,4,14,1.42,3.36,34,14,1.67,3.83,40
16f4b,2019-05-13,00-06,3,0.12,0.61,3,0,0.0,0.0,0,0,0.0,0.0,0,6,0.33,1.27,8,3,0.21,0.72,5
16f4b,2019-05-13,06-12,6,0.75,1.67,18,0,0.0,0.0,0,6,0.5,1.35,12,8,1.12,2.61,27,7,0.67,1.76,16
16f4b,2019-05-13,12-18,22,1.96,4.89,47,0,0.0,0.0,0,9,0.92,2.26,22,24,2.67,5.9,64,18,2.29,4.74,55
16f4b,2019-05-13,18-24,10,1.33,2.79,32,0,0.0,0.0,0,2,0.17,0.56,4,10,1.5,3.13,36,15,1.67,3.77,40
16f4b,2019-05-14,00-06,3,0.12,0.61,3,0,0.0,0.0,0,0,0.0,0.0,0,4,0.21,0.83,5,2,0.08,0.41,2
16f4b,2019-05-14,06-12,12,1.5,3.54,36,0,0.0,0.0,0,10,0.83,2.35,20,17,2.25,4.96,54,14,1.96,4.53,47
