id,date,6h,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bathroom-count-max,bathroom-count-mean,bathroom-count-std,bathroom-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum
56b6b,2019-05-10,12-18,8,0.5,1.69,12,0,0.0,0.0,0,12,0.96,2.73,23,4,0.17,0.82,4,4,0.5,1.22,12,14,1.17,3.17,28,12,1.25,3.15,30
56b6b,2019-05-10,18-24,6,0.67,1.66,16,0,0.0,0.0,0,12,1.38,2.95,33,8,0.33,1.63,8,4,0.42,1.02,10,14,1.46,3.23,35,17,2.08,4.4,50
56b6b,2019-05-11,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.21,0.59,5,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-11,06-12,6,0.25,1.22,6,0,0.0,0.0,0,17,1.62,4.74,39,2,0.08,0.41,2,4,0.17,0.82,4,15,0.79,3.13,19,15,0.75,3.1,18
56b6b,2019-05-11,12-18,10,0.75,2.25,18,0,0.0,0.0,0,10,1.46,3.15,35,4,0.33,0.96,8,4,0.42,1.18,10,8,1.92,3.4,46,14,2.17,4.36,52
56b6b,2019-05-11,18-24,6,0.67,1.83,16,0,0.0,0.0,0,5,0.29,1.04,7,4,0.33,0.96,8,4,0.25,0.9,6,7,1.0,2.04,24,19,1.54,4.03,37
56b6b,2019-05-12,00-06,0,0.0,0.0,0,0,0.0,0.0,0,10,0.83,2.26,20,0,0.0,0.0,0,0,0.0,0.0,0,6,0.25,1.22,6,5,0.21,1.02,5
56b6b,2019-05-12,06-12,2,0.08,0.41,2,0,0.0,0.0,0,16,1.71,4.32,41,0,0.0,0.0,0,2,0.08,0.41,2,13,0.62,2.67,15,12,0.54,2.45,13
56b6b,2019-05-12,12-18,5,0.5,1.29,12,0,0.0,0.0,0,14,1.0,2.99,24,2,0.08,0.41,2,2,0.17,0.56,4,7,0.92,2.15,22,15,1.58,4.13,38
56b6b,2019-05-12,18-24,4,0.83,1.55,20,0,0.0,0.0,0,22,2.08,5.06,50,6,0.5,1.47,12,2,0.33,0.76,8,11,1.88,3.6,45,16,2.83,5.44,68
56b6b,2019-05-13,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.12,0.45,3,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-13,06-12,2,0.08,0.41,2,0,0.0,0.0,0,10,1.0,2.83,24,0,0.0,0.0,0,4,0.25,0.9,6,4,0.29,1.0,7,5,0.29,1.08,7
56b6b,2019-05-13,12-18,6,0.46,1.44,11,0,0.0,0.0,0,4,0.42,1.06,10,2,0.08,0.41,2,4,0.46,1.02,11,7,0.96,2.07,23,24,2.04,5.45,49
56b6b,2019-05-13,18-24,5,0.46,1.1,11,0,0.0,0.0,0,11,1.58,3.23,38,2,0.08,0.41,2,4,0.38,1.06,9,12,1.75,3.49,42,18,2.62,5.21,63
56b6b,2019-05-14,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.25,0.68,6,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-14,06-12,0,0.0,0.0,0,0,0.0,0.0,0,16,1.67,4.1,40,0,0.0,0.0,0,4,0.33,0.96,8,12,1.29,3.25,31,8,0.79,2.11,19
56b6b,2019-05-14,12-18,2,0.21,0.51,5,0,0.0,0.0,0,10,1.0,2.57,24,4,0.29,1.0,7,6,0.67,1.74,16,13,1.46,3.49,35,20,1.79,4.7,43
56b6b,2019-05-14,18-24,18,1.25,3.82,30,0,0.0,0.0,0,14,1.29,3.09,31,4,0.38,0.97,9,4,0.33,0.96,8,7,1.42,2.6,34,14,2.71,4.9,65
56b6b,2019-05-15,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-15,06-12,5,0.46,1.32,11,0,0.0,0.0,0,16,1.71,4.45,41,2,0.08,0.41,2,5,0.58,1.28,14,10,0.83,2.22,20,10,0.79,2.23,19
56b6b,2019-05-15,12-18,7,0.58,1.56,14,0,0.0,0.0,0,10,1.12,2.51,27,5,0.75,1.73,18,4,0.5,1.22,12,9,1.67,3.14,40,16,2.71,5.2,65
56b6b,2019-05-15,18-24,10,0.92,2.48,22,0,0.0,0.0,0,12,1.25,3.05,30,2,0.25,0.68,6,8,0.67,2.01,16,13,1.54,3.4,37,17,1.88,4.27,45
56b6b,2019-05-16,00-06,2,0.08,0.41,2,0,0.0,0.0,0,5,0.42,1.1,10,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,1,0.04,0.2,1
56b6b,2019-05-16,06-12,10,1.0,2.57,24,0,0.0,0.0,0,22,2.96,6.13,71,4,0.17,0.82,4,10,0.75,2.19,18,17,1.96,4.82,47,18,2.17,5.2,52
56b6b,2019-05-16,12-18,7,0.38,1.44,9,0,0.0,0.0,0,9,1.25,2.69,30,7,0.75,1.8,18,2,0.08,0.41,2,5,0.71,1.43,17,21,3.08,5.97,74
56b6b,2019-05-16,18-24,6,1.04,1.94,25,0,0.0,0.0,0,10,1.04,2.61,25,4,0.33,0.96,8,2,0.25,0.68,6,8,1.21,2.52,29,12,2.17,4.3,52
56b6b,2019-05-17,00-06,2,0.08,0.41,2,0,0.0,0.0,0,13,0.75,2.67,18,0,0.0,0.0,0,0,0.0,0.0,0,2,0.17,0.56,4,2,0.17,0.56,4
56b6b,2019-05-17,06-12,5,0.29,1.08,7,0,0.0,0.0,0,20,1.79,4.69,43,4,0.25,0.9,6,0,0.0,0.0,0,10,0.79,2.55,19,11,0.92,2.84,22
56b6b,2019-05-17,12-18,7,0.79,1.89,19,0,0.0,0.0,0,15,1.38,3.65,33,2,0.08,0.41,2,5,0.38,1.13,9,10,1.62,3.36,39,22,2.33,5.4,56
56b6b,2019-05-17,18-24,4,0.58,1.21,14,0,0.0,0.0,0,18,1.21,3.95,29,2,0.25,0.68,6,8,0.75,2.27,18,8,1.25,2.64,30,14,2.04,4.15,49
56b6b,2019-05-18,00-06,0,0.0,0.0,0,0,0.0,0.0,0,7,0.38,1.47,9,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,1,0.04,0.2,1
56b6b,2019-05-18,06-12,4,0.25,0.9,6,0,0.0,0.0,0,17,1.58,4.21,38,0,0.0,0.0,0,2,0.08,0.41,2,8,0.5,1.79,12,6,0.42,1.44,10
