id,day,quarter,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
099bc,2019-06-06,18-24,0.0,12.0,29,0.0,1.0,3.0,2.0,0.0
099bc,2019-06-07,00-06,0.0,10.0,12,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-07,06-12,13.0,17.0,44,10.0,0.0,24.0,50.0,3.0
099bc,2019-06-07,12-18,8.0,6.0,9,8.0,1.0,11.0,14.0,1.0
099bc,2019-06-07,18-24,2.0,8.0,8,4.0,0.0,9.0,19.0,2.0
099bc,2019-06-08,00-06,0.0,4.0,7,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-08,06-12,2.0,22.0,38,8.0,0.0,14.0,16.0,0.0
099bc,2019-06-08,12-18,8.0,7.0,15,22.0,0.0,17.0,55.0,3.0
099bc,2019-06-08,18-24,0.0,10.0,18,0.0,0.0,2.0,2.0,0.0
099bc,2019-06-09,00-06,0.0,5.0,7,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-09,06-12,0.0,30.0,33,4.0,0.0,9.0,18.0,0.0
099bc,2019-06-09,12-18,4.0,17.0,29,0.0,0.0,14.0,6.0,0.0
099bc,2019-06-09,18-24,2.0,19.0,20,0.0,0.0,8.0,6.0,0.0
099bc,2019-06-10,00-06,0.0,2.0,5,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-10,06-12,2.0,36.0,43,6.0,0.0,38.0,40.0,23.0
099bc,2019-06-10,12-18,8.0,20.0,29,12.0,7.0,29.0,35.0,10.0
099bc,2019-06-10,18-24,0.0,7.0,10,2.0,0.0,5.0,24.0,2.0
099bc,2019-06-11,00-06,0.0,6.0,12,0.0,0.0,2.0,3.0,0.0
099bc,2019-06-11,06-12,2.0,29.0,48,4.0,0.0,18.0,30.0,3.0
099bc,2019-06-11,12-18,4.0,5.0,12,0.0,0.0,6.0,6.0,1.0
099bc,2019-06-11,18-24,2.0,9.0,17,6.0,0.0,7.0,9.0,0.0
099bc,2019-06-12,00-06,0.0,4.0,6,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-12,06-12,0.0,12.0,32,6.0,0.0,8.0,20.0,1.0
099bc,2019-06-12,12-18,4.0,6.0,11,10.0,2.0,23.0,41.0,1.0
099bc,2019-06-12,18-24,0.0,15.0,19,2.0,0.0,5.0,18.0,0.0
099bc,2019-06-13,00-06,0.0,12.0,15,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-13,06-12,2.0,30.0,33,4.0,1.0,14.0,25.0,0.0
099bc,2019-06-13,12-18,8.0,9.0,17,22.0,0.0,21.0,52.0,0.0
099bc,2019-06-13,18-24,0.0,11.0,22,0.0,0.0,4.0,9.0,0.0
099bc,2019-06-14,00-06,0.0,6.0,15,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-14,06-12,14.0,17.0,31,8.0,0.0,22.0,50.0,0.0
099bc,2019-06-14,12-18,10.0,10.0,25,18.0,0.0,17.0,33.0,1.0
099bc,2019-06-14,18-24,0.0,7.0,16,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-15,00-06,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-15,06-12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-15,12-18,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-17,00-06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-17,06-12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-17,12-18,6.0,9.0,10,8.0,0.0,13.0,30.0,1.0
099bc,2019-06-17,18-24,0.0,16.0,18,8.0,0.0,12.0,12.0,2.0
099bc,2019-06-18,00-06,0.0,2.0,4,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-18,06-12,6.0,27.0,44,8.0,0.0,20.0,36.0,1.0
099bc,2019-06-18,12-18,6.0,10.0,20,14.0,0.0,18.0,50.0,0.0
099bc,2019-06-18,18-24,0.0,15.0,20,2.0,0.0,3.0,10.0,1.0
099bc,2019-06-19,00-06,0.0,4.0,12,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-19,06-12,4.0,23.0,31,6.0,0.0,9.0,15.0,2.0
099bc,2019-06-19,12-18,12.0,2.0,5,5.0,0.0,11.0,19.0,1.0
099bc,2019-06-19,18-24,0.0,8.0,14,5.0,0.0,9.0,17.0,1.0
099bc,2019-06-20,00-06,2.0,9.0,14,0.0,0.0,3.0,2.0,0.0
099bc,2019-06-20,06-12,6.0,25.0,36,18.0,2.0,36.0,45.0,13.0
099bc,2019-06-20,12-18,12.0,4.0,11,20.0,2.0,20.0,30.0,2.0
099bc,2019-06-20,18-24,4.0,8.0,21,0.0,0.0,7.0,11.0,0.0
099bc,2019-06-21,00-06,0.0,4.0,7,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-21,06-12,3.0,26.0,41,10.0,0.0,27.0,62.0,5.0
099bc,2019-06-21,12-18,3.0,4.0,10,0.0,4.0,9.0,9.0,2.0
099bc,2019-06-24,00-06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-24,06-12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-24,12-18,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-24,18-24,2.0,9.0,19,2.0,0.0,6.0,6.0,1.0
099bc,2019-06-25,00-06,0.0,6.0,8,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-25,06-12,3.0,26.0,38,10.0,0.0,14.0,23.0,0.0
099bc,2019-06-25,12-18,9.0,7.0,15,10.0,0.0,14.0,25.0,0.0
099bc,2019-06-25,18-24,0.0,12.0,24,0.0,0.0,5.0,4.0,1.0
099bc,2019-06-26,00-06,0.0,6.0,7,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-26,06-12,8.0,16.0,36,12.0,0.0,31.0,53.0,11.0
099bc,2019-06-26,12-18,20.0,7.0,18,38.0,4.0,29.0,50.0,2.0
099bc,2019-06-26,18-24,2.0,11.0,16,0.0,0.0,9.0,9.0,1.0
099bc,2019-06-27,00-06,0.0,7.0,9,0.0,0.0,1.0,1.0,0.0
099bc,2019-06-27,06-12,4.0,23.0,31,4.0,0.0,14.0,27.0,4.0
099bc,2019-06-27,12-18,14.0,15.0,24,28.0,0.0,24.0,41.0,0.0
099bc,2019-06-27,18-24,2.0,16.0,28,0.0,0.0,9.0,8.0,4.0
099bc,2019-06-28,00-06,0.0,4.0,18,0.0,0.0,4.0,5.0,0.0
099bc,2019-06-28,06-12,5.0,16.0,27,8.0,0.0,13.0,22.0,1.0
099bc,2019-06-28,12-18,8.0,8.0,29,0.0,0.0,17.0,19.0,3.0
099bc,2019-06-28,18-24,4.0,11.0,21,4.0,0.0,11.0,12.0,1.0
099bc,2019-06-29,00-06,0.0,3.0,5,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-29,06-12,1.0,13.0,31,4.0,0.0,17.0,26.0,0.0
099bc,2019-06-29,12-18,5.0,8.0,16,16.0,0.0,10.0,29.0,0.0
099bc,2019-06-29,18-24,0.0,14.0,19,0.0,0.0,5.0,5.0,1.0
099bc,2019-06-30,00-06,0.0,7.0,11,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-30,06-12,3.0,16.0,32,8.0,0.0,23.0,27.0,5.0
099bc,2019-06-30,12-18,3.0,11.0,17,10.0,0.0,18.0,30.0,1.0
0cda9,2019-04-15,00-06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0cda9,2019-04-15,06-12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
