id,date,6h,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
d93d8,2019-06-07,18-24,5.0,9.0,0.0,22.0,25.0,32.0,44.0
d93d8,2019-06-08,00-06,7.0,45.0,0.0,10.0,18.0,11.0,7.0
d93d8,2019-06-08,06-12,7.0,48.0,0.0,30.0,37.0,32.0,29.0
d93d8,2019-06-08,12-18,8.0,18.0,6.0,24.0,41.0,45.0,32.0
d93d8,2019-06-08,18-24,5.0,3.0,0.0,10.0,25.0,34.0,30.0
d93d8,2019-06-09,00-06,7.0,28.0,0.0,14.0,18.0,17.0,13.0
d93d8,2019-06-09,06-12,9.0,17.0,0.0,18.0,17.0,34.0,21.0
d93d8,2019-06-09,12-18,8.0,6.0,0.0,24.0,34.0,37.0,46.0
d93d8,2019-06-09,18-24,8.0,7.0,0.0,12.0,27.0,30.0,39.0
d93d8,2019-06-10,00-06,5.0,48.0,0.0,6.0,17.0,11.0,9.0
d93d8,2019-06-10,06-12,17.0,20.0,4.0,24.0,35.0,29.0,17.0
d93d8,2019-06-10,12-18,12.0,20.0,8.0,52.0,47.0,70.0,24.0
d93d8,2019-06-10,18-24,5.0,4.0,0.0,36.0,30.0,28.0,32.0
d93d8,2019-06-11,00-06,11.0,54.0,0.0,10.0,18.0,13.0,7.0
d93d8,2019-06-11,06-12,16.0,29.0,6.0,36.0,56.0,34.0,34.0
d93d8,2019-06-11,12-18,12.0,8.0,6.0,38.0,35.0,39.0,38.0
d93d8,2019-06-11,18-24,11.0,5.0,0.0,34.0,34.0,37.0,41.0
d93d8,2019-06-12,00-06,9.0,39.0,0.0,12.0,18.0,12.0,15.0
d93d8,2019-06-12,06-12,13.0,28.0,2.0,18.0,46.0,33.0,30.0
d93d8,2019-06-12,12-18,19.0,13.0,6.0,28.0,58.0,40.0,52.0
d93d8,2019-06-12,18-24,5.0,6.0,0.0,26.0,37.0,34.0,51.0
d93d8,2019-06-13,00-06,12.0,54.0,0.0,19.0,30.0,21.0,20.0
d93d8,2019-06-13,06-12,16.0,28.0,4.0,18.0,36.0,28.0,17.0
d93d8,2019-06-13,12-18,6.0,10.0,4.0,18.0,31.0,27.0,28.0
d93d8,2019-06-13,18-24,12.0,8.0,0.0,36.0,28.0,20.0,37.0
d93d8,2019-06-14,00-06,5.0,33.0,0.0,4.0,13.0,9.0,10.0
d93d8,2019-06-14,06-12,15.0,31.0,4.0,22.0,30.0,32.0,21.0
d93d8,2019-06-14,12-18,20.0,19.0,8.0,28.0,66.0,57.0,52.0
d93d8,2019-06-14,18-24,8.0,13.0,4.0,26.0,34.0,30.0,50.0
d93d8,2019-06-15,00-06,3.0,19.0,0.0,16.0,15.0,16.0,13.0
d93d8,2019-06-15,06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-06-15,12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-06-15,18-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
