id,date,hour,bathroom,bedroom,front-door,hallway,kitchen
16f4b,2019-05-21,12,2.0,0.0,0.0,8.0,6.0
16f4b,2019-05-21,14,7.0,0.0,9.0,14.0,7.0
16f4b,2019-05-21,15,9.0,0.0,11.0,11.0,10.0
16f4b,2019-05-21,16,12.0,0.0,16.0,17.0,7.0
16f4b,2019-05-21,17,3.0,0.0,0.0,7.0,6.0
16f4b,2019-05-21,18,5.0,0.0,8.0,9.0,8.0
16f4b,2019-05-21,19,3.0,0.0,2.0,7.0,2.0
16f4b,2019-05-21,20,1.0,0.0,0.0,5.0,4.0
16f4b,2019-05-21,21,7.0,0.0,4.0,16.0,19.0
16f4b,2019-05-21,22,1.0,0.0,0.0,4.0,3.0
16f4b,2019-05-21,23,5.0,0.0,0.0,6.0,5.0
16f4b,2019-05-22,1,0.0,0.0,0.0,1.0,1.0
16f4b,2019-05-22,2,1.0,0.0,0.0,4.0,2.0
16f4b,2019-05-22,5,1.0,0.0,0.0,2.0,0.0
16f4b,2019-05-22,8,6.0,0.0,2.0,7.0,11.0
16f4b,2019-05-22,9,4.0,0.0,4.0,5.0,4.0
16f4b,2019-05-22,10,10.0,0.0,2.0,11.0,8.0
16f4b,2019-05-22,11,9.0,0.0,2.0,9.0,10.0
16f4b,2019-05-22,12,10.0,0.0,6.0,9.0,6.0
16f4b,2019-05-22,13,13.0,0.0,0.0,9.0,7.0
16f4b,2019-05-22,14,1.0,0.0,0.0,7.0,4.0
16f4b,2019-05-22,15,11.0,0.0,0.0,10.0,16.0
16f4b,2019-05-22,16,3.0,0.0,0.0,7.0,6.0
16f4b,2019-05-22,17,4.0,0.0,0.0,7.0,13.0
16f4b,2019-05-22,18,3.0,0.0,0.0,3.0,11.0
16f4b,2019-05-22,19,12.0,0.0,0.0,10.0,11.0
16f4b,2019-05-22,20,10.0,0.0,14.0,17.0,13.0
16f4b,2019-05-22,21,7.0,0.0,6.0,14.0,10.0
16f4b,2019-05-22,22,2.0,0.0,0.0,9.0,5.0
16f4b,2019-05-22,23,0.0,0.0,0.0,1.0,1.0
16f4b,2019-05-23,0,0.0,0.0,0.0,1.0,0.0
16f4b,2019-05-23,1,2.0,0.0,0.0,12.0,7.0
16f4b,2019-05-23,2,0.0,0.0,0.0,1.0,2.0
16f4b,2019-05-23,5,0.0,0.0,0.0,1.0,0.0
16f4b,2019-05-23,8,1.0,0.0,2.0,5.0,7.0
16f4b,2019-05-23,9,10.0,0.0,8.0,21.0,23.0
16f4b,2019-05-23,10,2.0,0.0,4.0,7.0,5.0
16f4b,2019-05-23,11,4.0,0.0,4.0,10.0,9.0
16f4b,2019-05-23,12,5.0,0.0,2.0,7.0,6.0
16f4b,2019-05-23,13,5.0,0.0,0.0,6.0,5.0
16f4b,2019-05-23,14,2.0,0.0,0.0,4.0,4.0
16f4b,2019-05-23,15,8.0,0.0,0.0,11.0,7.0
16f4b,2019-05-23,16,0.0,0.0,2.0,7.0,6.0
16f4b,2019-05-23,17,0.0,0.0,0.0,10.0,7.0
16f4b,2019-05-23,18,2.0,0.0,8.0,13.0,7.0
16f4b,2019-05-23,19,0.0,0.0,0.0,10.0,8.0
16f4b,2019-05-23,20,0.0,0.0,4.0,12.0,12.0
16f4b,2019-05-23,21,2.0,0.0,0.0,2.0,0.0
16f4b,2019-05-23,22,3.0,0.0,2.0,4.0,1.0
16f4b,2019-05-23,23,1.0,0.0,0.0,1.0,0.0
16f4b,2019-05-24,0,3.0,0.0,0.0,4.0,3.0
16f4b,2019-05-24,1,0.0,0.0,0.0,1.0,2.0
16f4b,2019-05-24,2,3.0,0.0,0.0,3.0,0.0
16f4b,2019-05-24,4,1.0,0.0,0.0,2.0,0.0
16f4b,2019-05-24,8,1.0,0.0,2.0,2.0,1.0
16f4b,2019-05-24,9,20.0,0.0,8.0,22.0,22.0
16f4b,2019-05-24,10,25.0,0.0,6.0,23.0,20.0
16f4b,2019-05-24,11,13.0,0.0,2.0,15.0,7.0
16f4b,2019-05-24,12,10.0,0.0,2.0,10.0,9.0
16f4b,2019-05-24,13,2.0,0.0,0.0,9.0,2.0
16f4b,2019-05-24,14,12.0,0.0,7.0,14.0,6.0
16f4b,2019-05-24,15,7.0,0.0,3.0,6.0,6.0
16f4b,2019-05-24,16,2.0,0.0,2.0,3.0,3.0
16f4b,2019-05-24,17,1.0,0.0,4.0,2.0,2.0
16f4b,2019-05-24,18,2.0,0.0,0.0,11.0,8.0
16f4b,2019-05-24,19,8.0,0.0,0.0,15.0,16.0
16f4b,2019-05-24,20,8.0,0.0,4.0,17.0,17.0
16f4b,2019-05-24,21,2.0,0.0,0.0,2.0,1.0
16f4b,2019-05-24,22,5.0,0.0,0.0,9.0,10.0
16f4b,2019-05-25,0,1.0,0.0,0.0,1.0,1.0
16f4b,2019-05-25,1,1.0,0.0,0.0,5.0,3.0
16f4b,2019-05-25,4,0.0,0.0,0.0,1.0,0.0
16f4b,2019-05-25,6,1.0,0.0,0.0,1.0,0.0
16f4b,2019-05-25,8,1.0,0.0,0.0,1.0,1.0
16f4b,2019-05-25,9,8.0,0.0,0.0,11.0,18.0
16f4b,2019-05-25,10,11.0,0.0,14.0,18.0,8.0
16f4b,2019-05-25,11,5.0,0.0,0.0,5.0,7.0
16f4b,2019-05-25,12,3.0,0.0,2.0,12.0,9.0
16f4b,2019-05-25,13,0.0,0.0,6.0,5.0,6.0
16f4b,2019-05-25,14,0.0,0.0,8.0,9.0,7.0
16f4b,2019-05-25,15,0.0,0.0,4.0,8.0,7.0
16f4b,2019-05-25,16,6.0,0.0,18.0,14.0,15.0
16f4b,2019-05-25,17,5.0,0.0,8.0,12.0,7.0
16f4b,2019-05-25,18,0.0,0.0,4.0,4.0,1.0
